EXP_NAME,EXPERIMENTER,MODEL_FAMILY,FEATURE_MODE,SEED,N_FOLDS,VALIDATION_SCHEME,VAL_SIZE,VAL_STRATIFY,USE_STRATIFIED_KFOLD,SHUFFLE_FOLDS,FOLDS_RANDOM_STATE,SCALER_TYPE,MISSING_VALUE_STRATEGY,MISSING_FILL_VALUE,USE_PCA,PCA_N_COMPONENTS,PCA_WHITEN,PCA_SVD_SOLVER,IMBALANCE_MODE,DECISION_THRESHOLD,train_size,cv_f1_macro_mean,cv_f1_macro_std,cv_f1_macro_per_fold,public_lb_f1_macro,private_lb_f1_macro,train_time_sec,submission_file,notes,config_json
109A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.1445159912109375,,,
110A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.05229949951171875,,,
111A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.4640979420159231,0.00026555009057629677,"[0.4642857142857143, 0.4642857142857143, 0.4637223974763407]",,,0.19388055801391602,,,
112A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.5768220136381407,0.04643646203741943,"[0.6167350408397088, 0.6020288724151385, 0.5117021276595745]",,,0.03581047058105469,,,
113A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.10968852043151855,,,
114A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.03694438934326172,,,
115A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.4640979420159231,0.00026555009057629677,"[0.4642857142857143, 0.4642857142857143, 0.4637223974763407]",,,0.20993900299072266,,,
116A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.5768220136381407,0.04643646203741943,"[0.6167350408397088, 0.6020288724151385, 0.5117021276595745]",,,0.0408477783203125,,,
117A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.15066862106323242,,,
118A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.08330464363098145,,,
119A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.4640979420159231,0.00026555009057629677,"[0.4642857142857143, 0.4642857142857143, 0.4637223974763407]",,,0.1074228286743164,,,
120A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.5768220136381407,0.04643646203741943,"[0.6167350408397088, 0.6020288724151385, 0.5117021276595745]",,,0.11428570747375488,,,
121A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.14722108840942383,,,
122A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.0419621467590332,,,
123A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.4640979420159231,0.00026555009057629677,"[0.4642857142857143, 0.4642857142857143, 0.4637223974763407]",,,0.3920133113861084,,,
124A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.5768220136381407,0.04643646203741943,"[0.6167350408397088, 0.6020288724151385, 0.5117021276595745]",,,0.046627044677734375,,,
125A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.1140739917755127,,,
126A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.03984212875366211,,,
127A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.4640979420159231,0.00026555009057629677,"[0.4642857142857143, 0.4642857142857143, 0.4637223974763407]",,,0.8366398811340332,,,
128A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.5768220136381407,0.04643646203741943,"[0.6167350408397088, 0.6020288724151385, 0.5117021276595745]",,,0.11351156234741211,,,
129A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.31751012802124023,,,
130A,Zuha,svm,img+text,42,3,cv_only,0.2,True,True,True,42,standard,mean,0.0,True,64,True,full,none,0.5,1530,0.6015922260447548,0.042028485373774016,"[0.6111522048364153, 0.6476162274207877, 0.5460082458770614]",,,0.08168578147888184,,,
