commit_hash,date,author,subject,status,file_path,old_file_path
a254c222bbd19c53c2c7522bbb0d07a29212b685,2025-11-16,Zuha Aqib,experiment 6A,M,logs/experiments_log_Zuha.csv,
a254c222bbd19c53c2c7522bbb0d07a29212b685,2025-11-16,Zuha Aqib,experiment 6A,M,logs/logreg_Zuha.csv,
a254c222bbd19c53c2c7522bbb0d07a29212b685,2025-11-16,Zuha Aqib,experiment 6A,M,submissions/logreg.csv,
6826f6755882a2ac06dc5f4e694217c5718acfc1,2025-11-16,Zuha Aqib,removed incorrect submission,M,logs/experiments_log_Zuha.csv,
0734bb606138636def6138d84b314e0add5355ab,2025-11-16,Zuha Aqib,experiment 5A,M,04-logregression.ipynb,
0734bb606138636def6138d84b314e0add5355ab,2025-11-16,Zuha Aqib,experiment 5A,M,logs/experiments_log_Zuha.csv,
0734bb606138636def6138d84b314e0add5355ab,2025-11-16,Zuha Aqib,experiment 5A,A,logs/logreg_Zuha.csv,
0734bb606138636def6138d84b314e0add5355ab,2025-11-16,Zuha Aqib,experiment 5A,A,submissions/logreg.csv,
d240eedcd5099c481dd923a3b62d81735e41c879,2025-11-16,maryamihsan,experiment 1B,M,02-xgboost.ipynb,
d240eedcd5099c481dd923a3b62d81735e41c879,2025-11-16,maryamihsan,experiment 1B,A,logs/experiments_log_Maryam.csv,
d240eedcd5099c481dd923a3b62d81735e41c879,2025-11-16,maryamihsan,experiment 1B,A,logs/xgboost_Maryam.csv,
d240eedcd5099c481dd923a3b62d81735e41c879,2025-11-16,maryamihsan,experiment 1B,A,submissions/submission.csv,
acaea17416e0e6e73bad4071a570f1b53791989f,2025-11-16,Zuha Aqib,experiment 3A,M,01-lightgbm.ipynb,
acaea17416e0e6e73bad4071a570f1b53791989f,2025-11-16,Zuha Aqib,experiment 3A,M,logs/experiments_log_Zuha.csv,
acaea17416e0e6e73bad4071a570f1b53791989f,2025-11-16,Zuha Aqib,experiment 3A,M,logs/lightgbm_Zuha.csv,
